time,lat,lon,bnds,average_DT,average_T1,average_T2,tas,time_bnds,height,lat_bnds,lon_bnds
2021-01-16 12:00:00,-89.49438202247192,1.25,1.0,31 days,2021-01-02,2021-02-02,248.93164,2021-01-01 00:00:00,2.0,-90.0,0.0
2021-01-16 12:00:00,-89.49438202247192,1.25,2.0,31 days,2021-01-02,2021-02-02,248.93164,2021-02-01 00:00:00,2.0,-88.98876404494382,2.5
2021-01-16 12:00:00,-89.49438202247192,3.7499999999999996,1.0,31 days,2021-01-02,2021-02-02,248.93164,2021-01-01 00:00:00,2.0,-90.0,2.5
2021-01-16 12:00:00,-89.49438202247192,3.7499999999999996,2.0,31 days,2021-01-02,2021-02-02,248.93164,2021-02-01 00:00:00,2.0,-88.98876404494382,5.0
2021-01-16 12:00:00,-89.49438202247192,6.25,1.0,31 days,2021-01-02,2021-02-02,248.9316,2021-01-01 00:00:00,2.0,-90.0,5.0
2021-01-16 12:00:00,-89.49438202247192,6.25,2.0,31 days,2021-01-02,2021-02-02,248.9316,2021-02-01 00:00:00,2.0,-88.98876404494382,7.499999999999999
2021-01-16 12:00:00,-89.49438202247192,8.75,1.0,31 days,2021-01-02,2021-02-02,248.93227,2021-01-01 00:00:00,2.0,-90.0,7.499999999999999
2021-01-16 12:00:00,-89.49438202247192,8.75,2.0,31 days,2021-01-02,2021-02-02,248.93227,2021-02-01 00:00:00,2.0,-88.98876404494382,10.0
2021-01-16 12:00:00,-89.49438202247192,11.25,1.0,31 days,2021-01-02,2021-02-02,248.93341,2021-01-01 00:00:00,2.0,-90.0,10.0
2021-01-16 12:00:00,-89.49438202247192,11.25,2.0,31 days,2021-01-02,2021-02-02,248.93341,2021-02-01 00:00:00,2.0,-88.98876404494382,12.5
2021-01-16 12:00:00,-89.49438202247192,13.75,1.0,31 days,2021-01-02,2021-02-02,248.93335,2021-01-01 00:00:00,2.0,-90.0,12.5
2021-01-16 12:00:00,-89.49438202247192,13.75,2.0,31 days,2021-01-02,2021-02-02,248.93335,2021-02-01 00:00:00,2.0,-88.98876404494382,14.999999999999998
2021-01-16 12:00:00,-89.49438202247192,16.25,1.0,31 days,2021-01-02,2021-02-02,248.9344,2021-01-01 00:00:00,2.0,-90.0,14.999999999999998
2021-01-16 12:00:00,-89.49438202247192,16.25,2.0,31 days,2021-01-02,2021-02-02,248.9344,2021-02-01 00:00:00,2.0,-88.98876404494382,17.5
2021-01-16 12:00:00,-89.49438202247192,18.75,1.0,31 days,2021-01-02,2021-02-02,248.9343,2021-01-01 00:00:00,2.0,-90.0,17.5
2021-01-16 12:00:00,-89.49438202247192,18.75,2.0,31 days,2021-01-02,2021-02-02,248.9343,2021-02-01 00:00:00,2.0,-88.98876404494382,20.0
2021-01-16 12:00:00,-89.49438202247192,21.25,1.0,31 days,2021-01-02,2021-02-02,248.93414,2021-01-01 00:00:00,2.0,-90.0,20.0
2021-01-16 12:00:00,-89.49438202247192,21.25,2.0,31 days,2021-01-02,2021-02-02,248.93414,2021-02-01 00:00:00,2.0,-88.98876404494382,22.5
2021-01-16 12:00:00,-89.49438202247192,23.75,1.0,31 days,2021-01-02,2021-02-02,248.93402,2021-01-01 00:00:00,2.0,-90.0,22.5
2021-01-16 12:00:00,-89.49438202247192,23.75,2.0,31 days,2021-01-02,2021-02-02,248.93402,2021-02-01 00:00:00,2.0,-88.98876404494382,25.0
2021-01-16 12:00:00,-89.49438202247192,26.250000000000004,1.0,31 days,2021-01-02,2021-02-02,248.93138,2021-01-01 00:00:00,2.0,-90.0,25.0
2021-01-16 12:00:00,-89.49438202247192,26.250000000000004,2.0,31 days,2021-01-02,2021-02-02,248.93138,2021-02-01 00:00:00,2.0,-88.98876404494382,27.5
2021-01-16 12:00:00,-89.49438202247192,28.75,1.0,31 days,2021-01-02,2021-02-02,248.93121,2021-01-01 00:00:00,2.0,-90.0,27.5
2021-01-16 12:00:00,-89.49438202247192,28.75,2.0,31 days,2021-01-02,2021-02-02,248.93121,2021-02-01 00:00:00,2.0,-88.98876404494382,29.999999999999996
2021-01-16 12:00:00,-89.49438202247192,31.249999999999996,1.0,31 days,2021-01-02,2021-02-02,248.93932,2021-01-01 00:00:00,2.0,-90.0,29.999999999999996
2021-01-16 12:00:00,-89.49438202247192,31.249999999999996,2.0,31 days,2021-01-02,2021-02-02,248.93932,2021-02-01 00:00:00,2.0,-88.98876404494382,32.5
2021-01-16 12:00:00,-89.49438202247192,33.75,1.0,31 days,2021-01-02,2021-02-02,248.93915,2021-01-01 00:00:00,2.0,-90.0,32.5
2021-01-16 12:00:00,-89.49438202247192,33.75,2.0,31 days,2021-01-02,2021-02-02,248.93915,2021-02-01 00:00:00,2.0,-88.98876404494382,35.0
2021-01-16 12:00:00,-89.49438202247192,36.25,1.0,31 days,2021-01-02,2021-02-02,248.939,2021-01-01 00:00:00,2.0,-90.0,35.0
2021-01-16 12:00:00,-89.49438202247192,36.25,2.0,31 days,2021-01-02,2021-02-02,248.939,2021-02-01 00:00:00,2.0,-88.98876404494382,37.5
2021-01-16 12:00:00,-89.49438202247192,38.75,1.0,31 days,2021-01-02,2021-02-02,248.93881,2021-01-01 00:00:00,2.0,-90.0,37.5
2021-01-16 12:00:00,-89.49438202247192,38.75,2.0,31 days,2021-01-02,2021-02-02,248.93881,2021-02-01 00:00:00,2.0,-88.98876404494382,40.0
2021-01-16 12:00:00,-89.49438202247192,41.25,1.0,31 days,2021-01-02,2021-02-02,248.92921,2021-01-01 00:00:00,2.0,-90.0,40.0
2021-01-16 12:00:00,-89.49438202247192,41.25,2.0,31 days,2021-01-02,2021-02-02,248.92921,2021-02-01 00:00:00,2.0,-88.98876404494382,42.5
2021-01-16 12:00:00,-89.49438202247192,43.74999999999999,1.0,31 days,2021-01-02,2021-02-02,248.92908,2021-01-01 00:00:00,2.0,-90.0,42.5
2021-01-16 12:00:00,-89.49438202247192,43.74999999999999,2.0,31 days,2021-01-02,2021-02-02,248.92908,2021-02-01 00:00:00,2.0,-88.98876404494382,45.0
2021-01-16 12:00:00,-89.49438202247192,46.25,1.0,31 days,2021-01-02,2021-02-02,248.92307,2021-01-01 00:00:00,2.0,-90.0,45.0
2021-01-16 12:00:00,-89.49438202247192,46.25,2.0,31 days,2021-01-02,2021-02-02,248.92307,2021-02-01 00:00:00,2.0,-88.98876404494382,47.5
2021-01-16 12:00:00,-89.49438202247192,48.74999999999999,1.0,31 days,2021-01-02,2021-02-02,248.92293,2021-01-01 00:00:00,2.0,-90.0,47.5
2021-01-16 12:00:00,-89.49438202247192,48.74999999999999,2.0,31 days,2021-01-02,2021-02-02,248.92293,2021-02-01 00:00:00,2.0,-88.98876404494382,50.0
2021-01-16 12:00:00,-89.49438202247192,51.25,1.0,31 days,2021-01-02,2021-02-02,248.9228,2021-01-01 00:00:00,2.0,-90.0,50.0
2021-01-16 12:00:00,-89.49438202247192,51.25,2.0,31 days,2021-01-02,2021-02-02,248.9228,2021-02-01 00:00:00,2.0,-88.98876404494382,52.50000000000001
2021-01-16 12:00:00,-89.49438202247192,53.74999999999999,1.0,31 days,2021-01-02,2021-02-02,248.92271,2021-01-01 00:00:00,2.0,-90.0,52.50000000000001
2021-01-16 12:00:00,-89.49438202247192,53.74999999999999,2.0,31 days,2021-01-02,2021-02-02,248.92271,2021-02-01 00:00:00,2.0,-88.98876404494382,55.0
2021-01-16 12:00:00,-89.49438202247192,56.25,1.0,31 days,2021-01-02,2021-02-02,248.92072,2021-01-01 00:00:00,2.0,-90.0,55.0
2021-01-16 12:00:00,-89.49438202247192,56.25,2.0,31 days,2021-01-02,2021-02-02,248.92072,2021-02-01 00:00:00,2.0,-88.98876404494382,57.5
2021-01-16 12:00:00,-89.49438202247192,58.75,1.0,31 days,2021-01-02,2021-02-02,248.92068,2021-01-01 00:00:00,2.0,-90.0,57.5
2021-01-16 12:00:00,-89.49438202247192,58.75,2.0,31 days,2021-01-02,2021-02-02,248.92068,2021-02-01 00:00:00,2.0,-88.98876404494382,59.99999999999999
2021-01-16 12:00:00,-89.49438202247192,61.24999999999999,1.0,31 days,2021-01-02,2021-02-02,248.91531,2021-01-01 00:00:00,2.0,-90.0,59.99999999999999
2021-01-16 12:00:00,-89.49438202247192,61.24999999999999,2.0,31 days,2021-01-02,2021-02-02,248.91531,2021-02-01 00:00:00,2.0,-88.98876404494382,62.49999999999999
