time,lat,lon,bnds,average_DT,average_T1,average_T2,time_bnds,vas,height,lat_bnds,lon_bnds
2021-01-16 12:00:00,-89.49438202247192,1.25,1.0,31 days,2021-01-02,2021-02-02,2021-01-01 00:00:00,-1.8606647,10.0,-90.0,0.0
2021-01-16 12:00:00,-89.49438202247192,1.25,2.0,31 days,2021-01-02,2021-02-02,2021-02-01 00:00:00,-1.8606647,10.0,-88.98876404494382,2.5
2021-01-16 12:00:00,-89.49438202247192,3.7499999999999996,1.0,31 days,2021-01-02,2021-02-02,2021-01-01 00:00:00,-1.8458353,10.0,-90.0,2.5
2021-01-16 12:00:00,-89.49438202247192,3.7499999999999996,2.0,31 days,2021-01-02,2021-02-02,2021-02-01 00:00:00,-1.8458353,10.0,-88.98876404494382,5.0
2021-01-16 12:00:00,-89.49438202247192,6.25,1.0,31 days,2021-01-02,2021-02-02,2021-01-01 00:00:00,-1.8276542,10.0,-90.0,5.0
2021-01-16 12:00:00,-89.49438202247192,6.25,2.0,31 days,2021-01-02,2021-02-02,2021-02-01 00:00:00,-1.8276542,10.0,-88.98876404494382,7.499999999999999
2021-01-16 12:00:00,-89.49438202247192,8.75,1.0,31 days,2021-01-02,2021-02-02,2021-01-01 00:00:00,-1.8085432,10.0,-90.0,7.499999999999999
2021-01-16 12:00:00,-89.49438202247192,8.75,2.0,31 days,2021-01-02,2021-02-02,2021-02-01 00:00:00,-1.8085432,10.0,-88.98876404494382,10.0
2021-01-16 12:00:00,-89.49438202247192,11.25,1.0,31 days,2021-01-02,2021-02-02,2021-01-01 00:00:00,-1.787536,10.0,-90.0,10.0
2021-01-16 12:00:00,-89.49438202247192,11.25,2.0,31 days,2021-01-02,2021-02-02,2021-02-01 00:00:00,-1.787536,10.0,-88.98876404494382,12.5
2021-01-16 12:00:00,-89.49438202247192,13.75,1.0,31 days,2021-01-02,2021-02-02,2021-01-01 00:00:00,-1.7584827,10.0,-90.0,12.5
2021-01-16 12:00:00,-89.49438202247192,13.75,2.0,31 days,2021-01-02,2021-02-02,2021-02-01 00:00:00,-1.7584827,10.0,-88.98876404494382,14.999999999999998
2021-01-16 12:00:00,-89.49438202247192,16.25,1.0,31 days,2021-01-02,2021-02-02,2021-01-01 00:00:00,-1.7299817,10.0,-90.0,14.999999999999998
2021-01-16 12:00:00,-89.49438202247192,16.25,2.0,31 days,2021-01-02,2021-02-02,2021-02-01 00:00:00,-1.7299817,10.0,-88.98876404494382,17.5
2021-01-16 12:00:00,-89.49438202247192,18.75,1.0,31 days,2021-01-02,2021-02-02,2021-01-01 00:00:00,-1.6940522,10.0,-90.0,17.5
2021-01-16 12:00:00,-89.49438202247192,18.75,2.0,31 days,2021-01-02,2021-02-02,2021-02-01 00:00:00,-1.6940522,10.0,-88.98876404494382,20.0
2021-01-16 12:00:00,-89.49438202247192,21.25,1.0,31 days,2021-01-02,2021-02-02,2021-01-01 00:00:00,-1.6553919,10.0,-90.0,20.0
2021-01-16 12:00:00,-89.49438202247192,21.25,2.0,31 days,2021-01-02,2021-02-02,2021-02-01 00:00:00,-1.6553919,10.0,-88.98876404494382,22.5
2021-01-16 12:00:00,-89.49438202247192,23.75,1.0,31 days,2021-01-02,2021-02-02,2021-01-01 00:00:00,-1.6130514,10.0,-90.0,22.5
2021-01-16 12:00:00,-89.49438202247192,23.75,2.0,31 days,2021-01-02,2021-02-02,2021-02-01 00:00:00,-1.6130514,10.0,-88.98876404494382,25.0
2021-01-16 12:00:00,-89.49438202247192,26.250000000000004,1.0,31 days,2021-01-02,2021-02-02,2021-01-01 00:00:00,-1.5612203,10.0,-90.0,25.0
2021-01-16 12:00:00,-89.49438202247192,26.250000000000004,2.0,31 days,2021-01-02,2021-02-02,2021-02-01 00:00:00,-1.5612203,10.0,-88.98876404494382,27.5
2021-01-16 12:00:00,-89.49438202247192,28.75,1.0,31 days,2021-01-02,2021-02-02,2021-01-01 00:00:00,-1.5132959,10.0,-90.0,27.5
2021-01-16 12:00:00,-89.49438202247192,28.75,2.0,31 days,2021-01-02,2021-02-02,2021-02-01 00:00:00,-1.5132959,10.0,-88.98876404494382,29.999999999999996
2021-01-16 12:00:00,-89.49438202247192,31.249999999999996,1.0,31 days,2021-01-02,2021-02-02,2021-01-01 00:00:00,-1.4826926,10.0,-90.0,29.999999999999996
2021-01-16 12:00:00,-89.49438202247192,31.249999999999996,2.0,31 days,2021-01-02,2021-02-02,2021-02-01 00:00:00,-1.4826926,10.0,-88.98876404494382,32.5
2021-01-16 12:00:00,-89.49438202247192,33.75,1.0,31 days,2021-01-02,2021-02-02,2021-01-01 00:00:00,-1.428023,10.0,-90.0,32.5
2021-01-16 12:00:00,-89.49438202247192,33.75,2.0,31 days,2021-01-02,2021-02-02,2021-02-01 00:00:00,-1.428023,10.0,-88.98876404494382,35.0
2021-01-16 12:00:00,-89.49438202247192,36.25,1.0,31 days,2021-01-02,2021-02-02,2021-01-01 00:00:00,-1.3705646,10.0,-90.0,35.0
2021-01-16 12:00:00,-89.49438202247192,36.25,2.0,31 days,2021-01-02,2021-02-02,2021-02-01 00:00:00,-1.3705646,10.0,-88.98876404494382,37.5
2021-01-16 12:00:00,-89.49438202247192,38.75,1.0,31 days,2021-01-02,2021-02-02,2021-01-01 00:00:00,-1.3104991,10.0,-90.0,37.5
2021-01-16 12:00:00,-89.49438202247192,38.75,2.0,31 days,2021-01-02,2021-02-02,2021-02-01 00:00:00,-1.3104991,10.0,-88.98876404494382,40.0
2021-01-16 12:00:00,-89.49438202247192,41.25,1.0,31 days,2021-01-02,2021-02-02,2021-01-01 00:00:00,-1.2315131,10.0,-90.0,40.0
2021-01-16 12:00:00,-89.49438202247192,41.25,2.0,31 days,2021-01-02,2021-02-02,2021-02-01 00:00:00,-1.2315131,10.0,-88.98876404494382,42.5
2021-01-16 12:00:00,-89.49438202247192,43.74999999999999,1.0,31 days,2021-01-02,2021-02-02,2021-01-01 00:00:00,-1.1681368,10.0,-90.0,42.5
2021-01-16 12:00:00,-89.49438202247192,43.74999999999999,2.0,31 days,2021-01-02,2021-02-02,2021-02-01 00:00:00,-1.1681368,10.0,-88.98876404494382,45.0
2021-01-16 12:00:00,-89.49438202247192,46.25,1.0,31 days,2021-01-02,2021-02-02,2021-01-01 00:00:00,-1.0947125,10.0,-90.0,45.0
2021-01-16 12:00:00,-89.49438202247192,46.25,2.0,31 days,2021-01-02,2021-02-02,2021-02-01 00:00:00,-1.0947125,10.0,-88.98876404494382,47.5
2021-01-16 12:00:00,-89.49438202247192,48.74999999999999,1.0,31 days,2021-01-02,2021-02-02,2021-01-01 00:00:00,-1.0283934,10.0,-90.0,47.5
2021-01-16 12:00:00,-89.49438202247192,48.74999999999999,2.0,31 days,2021-01-02,2021-02-02,2021-02-01 00:00:00,-1.0283934,10.0,-88.98876404494382,50.0
2021-01-16 12:00:00,-89.49438202247192,51.25,1.0,31 days,2021-01-02,2021-02-02,2021-01-01 00:00:00,-0.9599023,10.0,-90.0,50.0
2021-01-16 12:00:00,-89.49438202247192,51.25,2.0,31 days,2021-01-02,2021-02-02,2021-02-01 00:00:00,-0.9599023,10.0,-88.98876404494382,52.50000000000001
2021-01-16 12:00:00,-89.49438202247192,53.74999999999999,1.0,31 days,2021-01-02,2021-02-02,2021-01-01 00:00:00,-0.88992286,10.0,-90.0,52.50000000000001
2021-01-16 12:00:00,-89.49438202247192,53.74999999999999,2.0,31 days,2021-01-02,2021-02-02,2021-02-01 00:00:00,-0.88992286,10.0,-88.98876404494382,55.0
2021-01-16 12:00:00,-89.49438202247192,56.25,1.0,31 days,2021-01-02,2021-02-02,2021-01-01 00:00:00,-0.81725806,10.0,-90.0,55.0
2021-01-16 12:00:00,-89.49438202247192,56.25,2.0,31 days,2021-01-02,2021-02-02,2021-02-01 00:00:00,-0.81725806,10.0,-88.98876404494382,57.5
2021-01-16 12:00:00,-89.49438202247192,58.75,1.0,31 days,2021-01-02,2021-02-02,2021-01-01 00:00:00,-0.7445789,10.0,-90.0,57.5
2021-01-16 12:00:00,-89.49438202247192,58.75,2.0,31 days,2021-01-02,2021-02-02,2021-02-01 00:00:00,-0.7445789,10.0,-88.98876404494382,59.99999999999999
2021-01-16 12:00:00,-89.49438202247192,61.24999999999999,1.0,31 days,2021-01-02,2021-02-02,2021-01-01 00:00:00,-0.6689347,10.0,-90.0,59.99999999999999
2021-01-16 12:00:00,-89.49438202247192,61.24999999999999,2.0,31 days,2021-01-02,2021-02-02,2021-02-01 00:00:00,-0.6689347,10.0,-88.98876404494382,62.49999999999999
